title;dir;price;Size;rooms;bathrooms;parking
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;450.000.000;117;3;3;2
Apartamento en Venta;El Poblado - Medellín;2.700.000.000;510;4;6;4
Casa en Venta;El Poblado - Medellín;345.000.000;90;3;3;1
Casa en Venta;El Poblado - Medellín;830.000.000;257;4;6;4
Apartamento en Venta;El Poblado - Medellín;875.000.000;165;3;4;2
Apartamento en Venta;El Poblado - Medellín;500.000.000;138;4;4;2
Apartamento en Venta;El Poblado - Medellín;1.100.000.000;170;3;4;2
Casa en Venta;El Poblado - Medellín;920.000.000;240;4;4;4
Apartamento en Venta;El Poblado - Medellín;1.100.000.000;247;4;;2
Casa en Venta;El Poblado - Medellín;1.600.000.000;354;4;3;2
Apartamento en Venta;El Poblado - Medellín;930.000.000;235;5;6;2
Apartamento en Venta;El Poblado - Medellín;550.000.000;130;4;4;2
Apartamento en Venta;El Poblado - Medellín;470.000.000;78;3;2;2
Apartamento en Venta;El Poblado - Medellín;380.000.000;80;3;2;2
Apartamento en Venta;El Poblado - Medellín;580.000.000;114;3;3;1
Apartamento en Venta;El Poblado - Medellín;750.000.000;168;4;3;2
Casa en Venta;El Poblado - Medellín;660.000.000;130;3;4;2
Apartamento en Venta;El Poblado - Medellín;1.150.000.000;167;2;3;2
Casa en Venta;El Poblado - Medellín;950.000.000;350;3;3;2
Apartamento en Venta;El Poblado - Medellín;680.000.000;135;4;4;1
Apartamento en Venta;El Poblado - Medellín;819.000.000;169;4;6;2
Casa en Venta;El Poblado - Medellín;1.360.000.000;298;4;4;1
Apartamento en Venta;El Poblado - Medellín;625.000.000;120;3;4;2
Apartamento en Venta;El Poblado - Medellín;680.000.000;85;2;3;2
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Casa en Venta;El Poblado - Medellín;1.250.000.000;334;4;5;4
Apartamento en Venta;El Poblado - Medellín;580.000.000;143;4;3;2
Apartamento en Venta;El Poblado - Medellín;850.000.000;153;3;3;2
Apartamento en Venta;El Poblado - Medellín;2.650.000.000;292;3;5;4
Apartamento en Venta;El Poblado - Medellín;420.000.000;84;2;2;1
Apartamento en Venta;El Poblado - Medellín;1.120.000.000;209;3;4;2
Oficina en Venta;El Poblado - Medellín;350.000.000;64;1;1;1
Casa en Venta;El Poblado - Medellín;820.000.000;250;4;6;2
Apartamento en Venta;El Poblado - Medellín;920.000.000;191;3;4;2
Apartamento en Venta;El Poblado - Medellín;720.000.000;195;4;5;2
Apartamento en Venta;El Poblado - Medellín;1.450.000.000;313;4;6;3
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;1.350.000.000;207;3;4;2
Apartamento en Venta;El Poblado - Medellín;495.000.000;62;1;2;2
Apartamento en Venta;El Poblado - Medellín;420.000.000;68;3;2;1
Apartamento en Venta;El Poblado - Medellín;560.000.000;128;2;3;1
Apartamento en Venta;El Poblado - Medellín;568.000.000;112;3;3;2
Apartamento en Venta;El Poblado - Medellín;780.000.000;134;4;4;2
Apartamento en Venta;El Poblado - Medellín;545.000.000;116;3;3;2
Apartamento en Venta;El Poblado - Medellín;350.000.000;76;3;2;1
Casa en Venta;El Poblado - Medellín;1.500.000.000;300;4;5;2
Apartamento en Venta;El Poblado - Medellín;390.000.000;100;2;3;1
Casa en Venta;El Poblado - Medellín;2.350.000.000;554;5;6;4
Oficina en Venta;El Poblado - Medellín;680.000.000;80;1;2;1
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Casa en Venta;El Poblado - Medellín;850.000.000;225;5;5;2
Apartaestudio en Venta;El Poblado - Medellín;440.000.000;61;1;2;
Apartamento en Venta;El Poblado - Medellín;2.650.000.000;292;3;5;4
Apartamento en Venta;El Poblado - Medellín;550.000.000;135;3;4;1
Apartamento en Venta;El Poblado - Medellín;710.000.000;120;3;2;1
Apartamento en Venta;El Poblado - Medellín;1.195.000.000;225;3;4;1
Apartamento en Venta;El Poblado - Medellín;450.000.000;110;4;4;1
Apartamento en Venta;El Poblado - Medellín;710.000.000;107;4;4;2
Apartamento en Venta;El Poblado - Medellín;590.000.000;87;3;3;2
Oficina en Venta;El Poblado - Medellín;431.000.000;51;6;1;2
Apartamento en Venta;El Poblado - Medellín;505.000.000;85;2;3;2
Apartamento en Venta;El Poblado - Medellín;690.000.000;185;3;5;2
Casa en Venta;El Poblado - Medellín;1.400.000.000;300;4;5;3
Apartamento en Venta;El Poblado - Medellín;620.000.000;148;3;2;2
Apartamento en Venta;El Poblado - Medellín;365.000.000;91;3;2;1
Apartamento en Venta;El Poblado - Medellín;1.300.000.000;230;3;4;3
Apartamento en Venta;El Poblado - Medellín;440.000.000;98;3;2;1
